ACA,actGlobeWarm,angryObama,approveObama,apprPresident,birthrightb,birthrightStr,climateDeny,climDeny,collegeaa,compromise,DeathPenalty,eduLevel,englishImp,famLeave,favorWall,feminist,fightISIS,gayAdopt,gayDiscrim,gayServices,Gender,govtPlutocrats,health,numKids,proudObama,religImport,rightTrack,roughUpProtest,RUantifeminist,RUfeminist,sensitiveOffense,spchild,spcrime,spEnvironment,spPoor,spSchool,spScience,spSocSec,spWelfare,SUMappBirthright,SUMdeportKids,trustGovt,trustPeople,violenceOK,YOB
3,3,1,1,1,3,3,1,1,1,1,1,10,2,3,5,3,1,1,1,2,1,1,2,3,4,1,1,3,5,5,3,3,2,3,3,3,3,2,2,6,6,3,2,1,1986
3,3,1,1,1,3,3,1,1,2,1,2,13,3,3,7,2,3,1,1,2,2,3,2,1,4,2,1,1,4,3,2,3,2,3,2,3,2,2,2,6,5,2,2,2,1980
3,3,1,1,1,3,3,1,1,1,1,1,13,1,3,7,1,2,1,1,2,2,1,2,2,2,1,1,2,5,1,3,2,3,3,3,3,3,3,2,6,6,4,3,1,1969
3,3,1,1,1,1,3,3,2,3,2,1,3,2,1,2,1,2,2,2,2,2,3,3,0,2,1,2,4,2,2,1,2,2,2,2,2,2,1,2,2,5,2,3,5,1933
3,3,1,2,1,1,3,1,1,1,2,1,13,1,3,6,2,3,1,1,2,1,1,2,2,2,2,2,2,5,3,3,3,3,3,3,3,3,3,2,2,6,4,2,2,1965
1,3,5,1,2,1,3,2,1,2,2,1,10,1,3,1,3,3,1,1,1,2,1,2,0,1,1,2,3,5,5,4,3,3,3,2,3,3,3,1,2,6,4,4,1,1958
3,3,1,2,1,3,1,1,2,3,2,2,9,1,3,6,3,2,1,1,1,1,1,1,0,3,2,2,3,4,4,2,3,2,3,2,3,3,2,2,7,6,4,4,1,1986
1,3,5,1,2,1,2,1,1,1,2,1,9,1,1,1,1,3,1,2,2,2,1,4,0,1,1,2,3,5,2,4,2,3,3,3,3,3,3,1,3,5,3,2,1,1941
2,3,3,1,1,1,3,2,1,2,1,1,13,1,3,2,3,1,1,1,2,1,1,4,0,4,1,1,3,5,5,1,3,3,3,3,3,3,3,1,2,6,3,3,3,1962
1,3,2,1,1,3,1,1,1,1,2,1,9,1,3,7,3,3,1,1,2,2,1,1,2,2,1,1,2,5,5,2,3,3,3,3,3,3,3,1,7,5,2,3,1,1978
1,3,1,1,2,3,1,2,1,2,2,2,10,1,3,2,3,3,2,1,1,1,1,1,0,1,1,2,1,5,5,2,3,2,3,3,3,3,2,2,7,5,2,2,1,1959
3,3,5,1,2,1,1,1,1,3,1,1,9,1,3,1,3,3,1,1,2,1,1,5,0,1,1,2,5,5,5,4,3,3,3,3,3,3,3,2,1,1,4,3,1,1935
3,3,1,2,1,3,1,1,1,3,1,2,13,1,3,7,2,3,1,1,2,1,1,1,1,3,2,2,1,5,3,2,3,3,3,3,3,3,3,3,7,6,4,4,1,1973
1,3,1,1,1,3,2,1,1,1,2,1,13,1,3,7,2,1,1,1,2,2,1,4,3,4,2,2,1,5,2,2,3,3,3,3,3,3,3,3,5,6,4,2,1,1980
3,2,2,1,2,3,1,3,1,1,2,1,9,1,3,7,2,3,1,1,1,2,1,1,0,1,1,2,5,4,3,4,2,3,2,3,3,3,3,1,7,1,4,3,1,1959
1,3,1,1,1,3,3,2,1,1,2,2,7,1,3,7,3,1,1,1,2,1,3,4,0,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,2,4,5,1956
1,2,3,1,2,1,3,2,2,1,1,1,9,1,2,1,3,3,1,1,1,1,1,4,0,2,1,2,5,5,5,4,2,3,2,2,2,3,3,2,2,5,5,2,1,1938
3,3,1,1,1,1,3,1,1,3,1,1,9,2,3,7,3,1,1,1,1,1,1,2,0,2,1,2,1,5,5,2,2,2,3,3,3,3,3,2,2,6,4,3,1,1948
1,1,4,1,2,3,3,3,1,1,2,1,10,1,2,2,3,3,1,1,1,2,1,2,0,1,1,2,3,5,5,4,2,3,1,2,1,3,3,1,6,2,5,2,1,1954
1,2,4,1,2,1,1,3,1,1,1,1,11,1,3,1,3,1,1,1,1,1,1,5,0,1,2,2,2,5,5,4,3,3,1,3,1,3,3,1,1,5,5,2,1,1961
3,3,1,1,1,3,1,1,1,3,1,2,13,3,3,7,1,1,1,1,2,2,3,2,0,5,2,1,1,5,1,1,3,1,3,3,3,3,3,3,7,6,3,3,1,1985
1,2,5,2,2,3,2,2,2,3,1,1,8,1,3,7,3,1,2,1,2,1,1,1,0,1,1,2,2,5,4,4,3,3,3,3,3,3,3,1,5,4,3,3,2,1964
3,3,2,2,1,3,3,1,1,3,1,2,13,2,3,7,2,3,1,1,1,1,1,3,1,4,2,1,1,4,3,3,3,2,3,3,3,3,2,3,6,5,4,4,1,1981
1,2,2,1,2,1,1,1,1,1,2,1,10,1,3,3,3,1,1,1,1,2,3,5,0,1,2,2,3,5,4,3,3,3,2,2,3,3,3,1,1,5,4,3,1,1978
3,3,2,1,1,3,1,1,1,3,1,2,14,1,3,7,2,3,1,1,2,2,3,2,0,4,1,1,1,4,3,2,3,3,2,3,3,3,3,3,7,6,2,3,1,1964
1,2,2,1,2,3,3,2,1,1,1,1,10,1,3,2,3,3,1,1,1,2,1,2,0,1,1,2,4,5,5,1,3,3,3,3,2,2,3,1,6,1,3,2,1,1950
3,3,1,1,1,3,1,1,1,3,1,2,14,1,3,7,2,2,1,1,2,2,3,1,2,4,2,2,1,5,3,2,3,3,3,3,3,3,3,3,7,6,3,2,1,1979
3,2,1,1,1,3,1,2,1,2,1,2,9,4,2,7,3,2,2,1,2,2,3,2,0,5,1,1,1,5,5,4,3,3,3,3,3,3,3,3,7,6,3,2,1,1950
1,3,2,1,1,3,2,1,1,3,1,1,13,1,3,7,2,3,1,1,2,1,1,1,0,4,1,2,3,5,3,1,1,3,3,1,3,3,2,1,5,6,2,2,1,1988
3,2,1,1,1,3,1,3,1,3,1,2,9,1,3,1,3,3,1,2,2,2,3,3,3,4,1,1,5,5,5,3,3,3,3,3,3,3,3,3,7,6,2,2,1,1959
1,1,1,1,1,1,1,1,2,1,2,2,13,1,3,2,3,3,1,1,1,1,1,3,4,2,2,2,3,5,5,3,3,1,3,2,3,3,2,1,1,6,4,3,1,1973
3,3,1,1,1,1,3,3,1,3,2,2,9,2,3,7,1,1,1,2,2,2,3,4,0,1,1,2,5,4,1,3,1,3,3,3,1,3,3,3,2,6,4,5,1,1974
3,2,1,1,1,3,1,2,1,3,1,1,8,2,3,5,3,3,1,1,2,1,3,3,0,4,1,1,1,5,5,1,2,3,3,3,3,3,3,2,7,6,3,4,1,1947
1,1,4,1,2,3,2,2,1,1,1,1,12,1,3,1,3,3,1,1,1,1,3,3,0,2,2,2,2,5,5,3,2,2,2,2,3,3,2,1,5,5,4,3,1,1960
1,2,3,1,2,3,3,2,1,3,1,1,12,1,3,2,2,3,1,1,2,1,3,2,0,2,1,2,1,4,4,3,3,2,2,3,2,3,2,1,6,6,4,3,1,1945
1,1,3,1,2,3,1,2,1,1,1,1,7,1,1,1,1,3,2,2,1,2,1,4,0,1,1,2,5,5,2,3,2,3,1,2,1,1,2,1,7,1,4,3,1,1938
3,1,4,1,1,1,1,2,2,1,1,1,13,1,3,1,3,3,2,1,1,2,1,4,0,1,1,2,5,4,5,4,3,3,1,1,1,3,1,1,1,5,1,2,1,1942
3,3,2,2,2,3,3,1,1,1,1,1,13,1,3,7,3,2,1,1,2,1,1,2,0,2,2,1,2,5,5,4,2,1,3,2,3,3,2,1,6,5,5,2,1,1963
1,1,4,1,2,1,3,3,1,3,2,1,12,1,3,3,3,3,2,1,1,1,1,3,0,1,1,2,1,4,5,4,1,3,1,1,2,1,2,1,2,4,5,2,1,1953
3,1,2,1,1,3,1,1,1,3,1,2,9,1,3,7,3,3,2,1,1,1,1,3,2,4,1,1,5,5,5,3,3,3,3,2,3,3,3,1,7,6,2,2,1,1966
3,3,1,1,1,3,3,1,1,3,1,2,14,1,3,7,1,1,1,1,2,2,3,3,0,5,2,1,1,5,1,2,3,1,3,3,3,3,3,3,6,6,2,2,1,1940
1,2,4,1,2,1,3,3,1,1,1,1,14,1,2,7,3,3,2,1,1,1,1,2,0,1,1,2,3,4,5,4,3,3,1,1,3,3,3,1,2,6,3,2,1,1948
1,2,3,1,2,1,1,2,2,1,1,1,10,2,3,1,3,3,2,1,1,1,1,3,0,1,2,2,3,4,4,4,3,3,2,2,3,2,3,1,1,5,4,2,1,1955
3,2,3,1,1,1,1,2,1,2,1,1,12,1,3,1,3,1,2,2,1,1,1,3,0,2,1,2,4,2,5,4,3,3,2,2,2,3,3,2,1,1,3,2,3,1949
3,2,1,1,1,3,2,2,2,2,1,1,9,1,3,7,3,3,2,2,1,1,3,2,4,2,1,1,4,3,5,4,2,3,2,1,2,3,2,2,5,5,2,4,4,1984
1,1,5,1,2,1,3,3,1,1,2,1,11,1,1,1,3,3,2,1,1,1,1,5,0,1,1,2,5,5,5,4,3,3,2,3,2,3,3,2,2,5,4,2,2,1954
1,2,2,2,2,1,3,2,2,2,2,1,14,2,1,2,3,3,2,2,1,1,1,3,0,1,1,2,4,4,5,3,2,3,2,3,1,3,3,1,2,4,4,3,1,1931
3,3,1,1,1,3,1,2,1,1,1,2,14,1,3,7,2,3,1,1,2,2,1,1,0,4,1,2,1,5,3,2,3,3,3,3,3,2,3,3,7,6,3,2,1,1948
1,2,2,2,2,1,1,2,1,1,1,1,13,1,2,7,2,3,1,1,1,2,1,2,0,2,1,2,1,4,3,3,2,3,1,2,3,3,2,1,1,6,4,2,1,1956
1,1,5,1,2,1,1,2,1,2,1,1,13,2,3,1,3,3,2,1,1,1,1,4,0,1,1,2,4,1,5,4,3,3,1,2,2,3,3,1,1,5,5,4,1,1941
3,2,1,1,1,3,1,2,1,1,2,1,9,1,1,1,3,1,1,1,2,1,3,4,0,2,1,1,2,5,5,1,3,3,3,3,3,3,3,3,7,4,2,3,5,1955
3,3,1,1,1,3,1,2,1,3,2,1,14,1,3,7,2,2,1,1,1,1,1,1,0,4,1,1,4,5,3,2,3,3,3,3,3,3,3,3,7,6,2,3,1,1965
3,3,5,2,1,3,3,3,1,3,2,1,11,3,3,7,3,3,1,1,2,1,1,1,0,1,1,2,2,5,5,1,3,3,2,2,3,3,3,2,6,6,3,3,5,1956
3,2,2,2,1,1,3,1,1,1,1,1,16,2,3,7,3,1,1,1,1,1,3,4,0,4,2,2,3,5,5,4,3,2,1,2,2,3,3,2,2,5,3,2,1,1987
3,3,1,1,1,3,1,2,1,3,1,2,10,2,3,7,2,2,1,1,1,2,3,3,0,4,1,1,1,5,2,2,3,3,3,3,3,3,3,3,7,6,2,2,1,1953
